poblacion,seccion,gober_15,alcalde_15,alcalde_24,dip_local_15,dip_fed_15,dip_local_18,senado_18,alcalde_18,alcalde_21,dip_local_21,gober_21,dip_fed_21,dip_fed18,dip_fed24,dip_local_24,pres_18,sen_24,pres_24
1033,1,INDEPE,MC,MC,PRI,PRI,PRI,MC,PRI,PAN,PAN,MC,PAN,PRI,MC,MC,morena,MC,morena
1479,2,PRI,PRD,MC,PRI,PRI,PRI,MC,INDEPE,INDEPE,MC,MC,MC,PRI,MC,MC,morena,MC,morena
870,3,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PAN,MC,PAN,PAN,PAN
464,4,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN
598,5,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,MC,PAN,PAN,PAN
604,6,PAN,PAN,MC,PAN,PAN,PRI,character(0),PAN,PAN,PAN,PAN,PAN,PAN,PAN,MC,PAN,MC,PAN
249,7,PVEM,PVEM,MC,PVEM,PVEM,MC,MC,MC,MC,MC,MC,MC,MC,MC,MC,PRI,MC,MC
400,8,PRI,PRI,PAN,PRI,PRI,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PRI,PAN,MC,PRI,PAN,PAN
373,9,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN
400,10,PAN,PVEM,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN
189,11,PAN,PAN,MC,PAN,PAN,MC,MC,MC,MC,MC,MC,PAN,MC,MC,MC,PAN,MC,PAN
400,12,PRI,PRI,MC,PRI,PRI,NA,NA,NA,PRI,PRI,PRI,PRI,NA,MC,MC,NA,MC,MC
529,13,PRI,PRI,MC,PRI,PRI,NA,NA,NA,PRI,PRI,PRI,PRI,NA,MC,MC,NA,MC,MC
368,15,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PAN,MC,MC,MC,MC,PAN,PAN,PAN,PAN,PAN,PAN
439,16,PRI,PRI,MC,PRI,PRI,PAN,PAN,PAN,MC,MC,MC,PRI,PAN,MC,MC,PAN,MC,MC
340,17,PAN,PAN,MC,PAN,PAN,PAN,PAN,PAN,MC,MC,MC,MC,PAN,MC,MC,PAN,MC,MC
5600,20,INDEPE,PAN,PAN,PAN,PAN,PAN,MC,PRI,PRI,PAN,MC,PAN,PRI,PAN,PAN,INDEPE,PAN,morena
2721,21,INDEPE,PAN,PAN,PAN,PAN,PAN,MC,PAN,PRI,PAN,MC,PAN,PAN,PAN,PAN,PAN,PAN,PAN
1559,22,INDEPE,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PAN,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN
1377,23,INDEPE,PAN,PAN,PAN,PRI,PAN,MC,PRI,PRI,PAN,PRI,PRI,PRI,MC,PAN,PAN,PAN,morena
718,24,INDEPE,PAN,PAN,PAN,PAN,PAN,MC,PAN,PRI,PAN,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN
1580,25,INDEPE,PAN,MC,PAN,PAN,PAN,MC,PAN,PRI,PAN,PRI,PRI,PAN,PAN,PAN,PAN,MC,PAN
1645,26,INDEPE,PAN,PAN,PAN,PRI,PAN,MC,PAN,PRI,PAN,PRI,PRI,PAN,PAN,PAN,PAN,MC,PAN
914,27,INDEPE,PAN,PAN,PRI,PRI,PAN,MC,PRI,PRI,PAN,PRI,PRI,PAN,PAN,PAN,PAN,MC,PAN
2455,28,INDEPE,PAN,PAN,PRI,PRI,PAN,MC,PRI,PRI,PAN,PRI,PRI,PRI,PAN,PAN,PAN,MC,PAN
2217,29,INDEPE,PAN,PAN,PRI,PRI,PAN,MC,PRI,PRI,PAN,MC,PRI,PRI,PAN,PAN,PAN,PAN,morena
1814,30,INDEPE,PAN,PAN,PAN,PRI,PAN,PRI,PRI,PRI,PAN,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN
692,31,INDEPE,PAN,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PAN,PRI,PAN,PAN,PAN,PAN,PAN,PAN,PAN
1540,32,PRI,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PAN,PRI,PRI,PAN,PAN,PAN,PAN,PAN,morena
1259,33,INDEPE,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PAN,PRI,PRI,PAN,PAN,PAN,PAN,PAN,PAN
801,34,INDEPE,PAN,PAN,PRI,PRI,PAN,PRI,PRI,PRI,PAN,PRI,PRI,PRI,PAN,PAN,PRI,PAN,PAN
311,35,INDEPE,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PAN,MC,PAN,PAN,PAN,PAN,PAN,PAN,PAN
358,36,PRI,PRI,PAN,PRI,PRI,PAN,PRI,PRI,PRI,PAN,PRI,PRI,PRI,PAN,PAN,PRI,PAN,PAN
659,37,PAN,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PRI,MC,PRI,PRI,PAN,PAN,PRI,PAN,PAN
699,38,INDEPE,PAN,PAN,PAN,PAN,PAN,PRI,PRI,PRI,PAN,PRI,PRI,PRI,PAN,PAN,PAN,PAN,PAN
