SECCION,P_12YMAS,POBFEM,POBMAS,PNACENT,PRES2015,P3YM_HLI,P15YM_AN,P15YM_SE,GRAPROES,PROM_HNV,PEA,PDESOCUP,PSINDER,PAFIL_IPRIV,PCATOLICA,p_joven,p_vieja,POBTOT
0,0.7972924584276816,0.49613467822428725,0.49650313360053555,0.7557988475822927,0.856259157326986,0.01030637151026918,0.007078494833840464,0.012198813677478727,10.351910432476677,1.904666222033587,350002.05639761686,3777.7856395881154,0.18229027018331087,0.056934139898873706,0.7684664472079559,0.11751304729894532,0.10835874752849475,578089
1,0.6816326530612244,0.4857142857142857,0.43673469387755104,0.8204081632653061,0.8081632653061225,0,0.012244897959183673,0,9.004816326530614,2.323695652173913,121.76646706586827,0,0,0.08979591836734693,0.7673469387755102,0.036734693877551024,0.11020408163265306,245
2,0.7480964467005076,0.4885786802030457,0.4593908629441624,0.800761421319797,0.8407360406091371,0,0.005710659898477157,0.01015228426395939,9.094638324873097,2.2610252100840333,724.5055131467345,9.357082273112809,0.0019035532994923859,0.08375634517766498,0.7093908629441624,0.10152284263959391,0.10532994923857868,1576
3,0.7022900763358778,0.4300254452926209,0.38676844783715014,0.6132315521628499,0.727735368956743,0,0.02544529262086514,0.030534351145038167,6.608498727735369,2.5984671532846715,185.10869565217394,0,0.058524173027989825,0,0.72264631043257,0.04580152671755725,0.13740458015267176,393
4,0.7351598173515982,0.4748858447488584,0.4018264840182648,0.7808219178082192,0.8036529680365296,0,0.0136986301369863,0.0273972602739726,7.038127853881279,2.165764705882353,81.61490683229813,0,0.0410958904109589,0,0.8584474885844748,0.0136986301369863,0.1506849315068493,219
5,0.7130801687763713,0.43248945147679324,0.4240506329113924,0.6835443037974683,0.7658227848101266,0,0.006329113924050633,0.012658227848101266,7.579472573839664,2.4522289156626513,234.19526627218937,0,0.029535864978902954,0.006329113924050633,0.7257383966244726,0.02531645569620253,0.14345991561181434,474
6,0.6237288135593221,0.34915254237288135,0.3423728813559322,0.5864406779661017,0.6813559322033899,0,0,0,6.972508474576272,2.2085714285714286,88.17934782608695,0,0.030508474576271188,0.020338983050847456,0.6305084745762712,0.010169491525423728,0.18983050847457628,295
12,0.5111940298507462,0.30223880597014924,0.31343283582089554,0.4664179104477612,0.5708955223880597,0,0,0,4.384067164179105,2.492222222222222,131.06569343065695,0,0.1455223880597015,0,0.5708955223880597,0.041044776119402986,0.13059701492537312,268
13,0.6174496644295302,0.3624161073825503,0.3724832214765101,0.5771812080536913,0.6510067114093959,0,0,0,5.86234899328859,2.523023255813954,160.33695652173913,0,0.24161073825503357,0,0.7315436241610739,0.026845637583892617,0.1476510067114094,298
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
20,0.7653298459750073,0.4888113920371985,0.505231037489102,0.8818657367044463,0.8708224353385644,0.001888985759953502,0.008573089218250509,0.015838419064225517,8.305943039814002,2.155141199226305,4373.277767229922,9.146383140307575,0.13876780005812264,0.01060738157512351,0.7746294681778553,0.13513513513513514,0.05826794536471956,6882
21,0.8041237113402062,0.4845360824742268,0.5126522961574508,0.8856607310215557,0.8898781630740393,0.0014058106841611997,0.004686035613870665,0.0014058106841611997,9.203373945641989,2.1279502369668246,1462.4615384615383,0,0.1569821930646673,0.03889409559512652,0.7582005623242737,0.10590440487347703,0.13776944704779756,2134
22,0.8235942668136714,0.4895259095920617,0.5104740904079382,0.9095920617420066,0.9007717750826902,0,0.007717750826901874,0.005512679162072767,8.48205071664829,2.4598347107438014,492.9611780455154,0,0.09812568908489526,0.013230429988974642,0.8908489525909592,0.10033076074972437,0.19294377067254687,907
23,0.7909967845659164,0.4919614147909968,0.5,0.882636655948553,0.882636655948553,0,0,0,8.541881028938906,2.2084426229508196,355.2479674796748,0,0.1382636655948553,0.027331189710610933,0.7668810289389068,0.08360128617363344,0.16559485530546625,622
24,0.8313008130081301,0.5365853658536586,0.4634146341463415,0.9044715447154471,0.9105691056910569,0,0,0,10.067174796747967,2.211277533039647,238.18092909535451,0,0.11585365853658537,0.026422764227642278,0.8495934959349594,0.054878048780487805,0.24796747967479674,492
25,0.8237623762376237,0.49306930693069306,0.504950495049505,0.9217821782178218,0.8950495049504951,0,0,0,11.295455445544555,2.007487684729064,611.8269230769231,0,0.09405940594059406,0.12475247524752475,0.8415841584158416,0.09900990099009901,0.17524752475247524,1010
26,0.8597826086956522,0.47934782608695653,0.5032608695652174,0.8956521739130435,0.9043478260869565,0.007608695652173913,0.006521739130434782,0.006521739130434782,11.424989130434785,1.9920812182741117,543.1605562579014,0,0.05,0.1282608695652174,0.8771739130434782,0.12173913043478261,0.19782608695652174,920
27,0.8842832469775475,0.5112262521588946,0.47668393782383417,0.9430051813471503,0.92573402417962,0,0,0.0069084628670120895,11.580293609671848,1.8494265232974911,361.875,0,0.06735751295336788,0.06735751295336788,0.7944732297063903,0.09499136442141623,0.26770293609671847,579
28,0.8090944727557821,0.5099960799686397,0.4786358290866327,0.9016072128577028,0.8823990591924735,0.0015680125441003528,0,0.0011760094080752645,9.482845942767543,1.9332894736842101,1605.4985465116279,0,0.10819286554292434,0.025480203841630734,0.8361426891415131,0.11642493139945119,0.10897687181497452,2551
29,0.8110624315443593,0.4769989047097481,0.49123767798466594,0.9178532311062432,0.8910186199342826,0,0.0032858707557502738,0.00547645125958379,8.364364731653888,2.1884679665738163,932.1107359891964,0,0.07721796276013143,0.0443592552026287,0.8455640744797371,0.10679079956188389,0.1566265060240964,1826
30,0.7885331347728965,0.4847356664184661,0.4869694713328369,0.8473566641846612,0.8503350707371556,0,0.0029784065524944155,0.0037230081906180195,8.301131794489947,2.563333333333333,698.7658168083096,3.8045325779036823,0.114668652271035,0.0022338049143708115,0.7982129560685034,0.10349962769918093,0.1563663440059568,1343
