MUNICIPIO,SECCION,POBTOT,POBFEM,POBMAS,INDIGENA,AFROMEXICANA,GRAPROES,DESEMPLEO,VIV_DESHAB
1,1,1320,674,646,11,5,9.18,11,116
1,2,1663,863,800,1,2,9.64,26,135
2,3,784,401,383,0,2,8.43,6,127
2,4,516,261,255,2,0,8.25,3,109
2,5,605,305,300,0,2,8.62,1,100
2,6,367,192,175,0,0,9.47,2,142
2,7,150,67,83,0,0,6.56,2,111
2,8,285,145,140,0,0,6.8,0,79
2,9,206,98,108,0,0,7.52,5,36
2,10,343,161,182,1,1,7.5,0,97
2,11,157,77,80,0,0,7.29,1,38
3,12,309,162,147,0,0,6.84,1,104
3,13,375,196,179,0,0,7.73,0,116
3,15,164,77,87,0,0,5.95,2,149
3,16,289,150,139,0,0,7,4,145
3,17,230,105,125,0,0,7.47,3,155
3,19,37,16,21,0,0,5.77,1,81
4,20,8457,4169,4288,35,55,8.43,38,292
4,21,2728,1326,1402,5,9,9.17,4,102
4,22,1314,652,662,1,1,8.73,5,26
4,23,1271,631,640,5,0,8.87,6,53
4,24,588,317,271,0,1,10.05,4,17
4,25,1914,961,953,3,17,11.22,4,70
4,26,1647,776,871,17,83,11.72,5,42
4,27,657,341,316,1,0,11.64,5,38
4,28,3080,1585,1495,13,49,9.67,5,96
4,29,2928,1444,1484,0,13,8.76,3,128
4,30,1777,895,882,5,28,8.98,12,94
4,31,2290,1131,1159,29,2,9.53,7,116
4,32,2616,1258,1358,26,3,8.47,24,138
4,33,1355,673,682,13,8,8.2,6,93
4,34,613,297,316,4,4,7.94,0,59
4,35,350,169,181,2,4,7.97,0,18
4,36,323,148,175,4,2,8.11,0,39
4,37,707,342,365,2,3,8.34,3,53
4,38,838,422,416,10,7,10.05,4,59
5,39,18,9,9,0,0,8.55,1,6
5,40,432,219,213,0,0,8.21,4,33
5,41,379,189,190,0,1,9.77,3,25
5,42,3125,1582,1543,2,18,9.01,25,181
5,43,6540,3325,3215,3,81,9.02,34,437
5,44,367,184,183,0,2,10.2,1,24
5,45,887,483,404,2,19,8.63,2,84
5,46,1350,691,659,1,4,8.21,3,135
5,47,1372,721,651,1,8,8.13,7,159
5,48,1146,595,551,0,8,7.76,7,131
5,49,992,527,465,0,3,7.84,7,75
5,51,367,181,186,0,4,8.17,1,56
5,52,343,160,183,2,2,7.64,4,52
5,55,223,101,122,0,0,5.46,0,43
5,57,82,31,51,1,1,5.79,0,12
5,59,48,16,32,0,0,4.82,0,10
5,61,258,119,139,0,2,5.81,1,119
5,62,100,45,55,0,0,5.8,0,32
6,63,7975,2842,5133,145,64,10.69,39,139
6,66,11643,5859,5784,84,86,11.19,92,341
6,2917,9022,4529,4493,66,39,11.23,74,215
6,2918,9022,4529,4493,66,39,11.23,74,215
6,2919,9022,4529,4493,66,39,11.23,74,215
6,2917,9022,4529,4493,66,39,11.23,74,215
6,2918,9022,4529,4493,66,39,11.23,74,215
6,2919,9022,4529,4493,66,39,11.23,74,215
6,69,5335,2682,2653,26,176,10.91,43,162
6,70,9722,4863,4859,54,61,11.83,123,263
6,71,1345,683,662,16,8,11.16,12,53
6,72,1122,557,565,19,1,10.23,9,28
6,73,3984,1937,2047,25,32,11.37,33,109
6,74,1543,776,767,25,4,9.48,7,27
6,75,1129,547,582,22,1,8.94,7,19
6,76,1518,769,749,25,18,9.14,16,22
6,78,1649,823,826,31,24,8.82,9,19
6,79,1794,870,924,29,3,8.94,13,38
6,80,1384,695,689,12,2,8.88,12,17
6,81,5902,3033,2869,16,55,12.56,61,181
6,82,1156,593,563,2,7,11.82,20,60
6,83,1036,542,494,3,8,11,11,33
6,84,12442,6296,6146,23,92,11.87,142,292
6,85,2229,1105,1124,45,10,9.54,36,39
6,86,3341,1677,1664,35,12,10.29,34,66
6,87,4785,2436,2349,17,30,11.84,37,133
6,88,5328,2623,2705,21,23,11.06,58,95
6,89,2269,1146,1123,9,17,10.18,35,46
6,90,1601,800,801,1,10,11.05,31,34
6,91,1373,689,684,0,11,11.03,19,32
6,92,1711,897,814,2,169,10.62,6,30
6,93,1532,759,773,4,1,10.87,13,44
6,94,1620,786,834,4,1,9.45,20,37
6,95,3544,1777,1767,1,272,12.71,51,109
6,96,1746,852,894,12,3,8.33,19,31
6,97,1480,736,744,16,1,10.07,32,37
6,98,1584,797,787,9,5,8.83,11,42
6,99,1859,965,894,2,111,11.33,39,75
6,100,2776,1389,1387,3,2,10.73,86,80
6,2920,8221,4107,4114,8,37,12.12,122,211
6,2921,8221,4107,4114,8,37,12.12,122,211
6,2922,8221,4107,4114,8,37,12.12,122,211
6,2920,8221,4107,4114,8,37,12.12,122,211
6,2921,8221,4107,4114,8,37,12.12,122,211
6,2922,8221,4107,4114,8,37,12.12,122,211
6,102,18658,9326,9332,63,95,12.81,119,923
6,103,1622,807,815,10,66,9.78,15,52
6,104,2070,1052,1018,20,38,10.62,17,47
6,105,1888,960,928,3,24,11.4,22,85
6,106,1121,563,558,15,0,10.36,13,42
6,107,4926,2436,2490,12,47,12.75,38,189
6,2972,27267,13386,13881,115,492,14.67,128,1632
6,2973,27267,13386,13881,115,492,14.67,128,1632
6,2974,27267,13386,13881,115,492,14.67,128,1632
6,2975,27267,13386,13881,115,492,14.67,128,1632
6,2976,27267,13386,13881,115,492,14.67,128,1632
6,2977,27267,13386,13881,115,492,14.67,128,1632
6,2978,27267,13386,13881,115,492,14.67,128,1632
6,2979,27267,13386,13881,115,492,14.67,128,1632
6,2980,27267,13386,13881,115,492,14.67,128,1632
6,109,2514,1280,1234,70,26,10.91,23,98
6,110,3703,1812,1891,7,19,13.64,15,350
6,111,2109,1050,1059,28,10,11.33,14,134
6,112,1247,560,687,20,14,9.2,8,43
6,113,600,306,294,2,12,10.79,4,39
6,2923,8338,4118,4220,82,90,13.11,47,760
6,2924,8338,4118,4220,82,90,13.11,47,760
6,2923,8338,4118,4220,82,90,13.11,47,760
6,2924,8338,4118,4220,82,90,13.11,47,760
6,115,1595,754,841,40,9,10.36,29,38
6,116,2260,1073,1187,48,8,8.5,42,24
6,117,2265,1106,1159,41,55,8.36,32,29
6,118,1754,866,888,22,9,8.3,22,14
6,119,1925,946,979,17,9,8.37,26,29
6,120,2723,1304,1419,50,10,8.17,24,37
6,121,2571,1276,1295,10,16,8.16,22,38
6,122,3867,1877,1990,43,103,8.94,35,77
6,123,3366,1643,1723,39,60,8.92,32,62
6,2925,5959,2939,3020,58,46,9.58,54,102
6,2926,5959,2939,3020,58,46,9.58,54,102
6,2927,5959,2939,3020,58,46,9.58,54,102
6,2925,5959,2939,3020,58,46,9.58,54,102
6,2926,5959,2939,3020,58,46,9.58,54,102
6,2927,5959,2939,3020,58,46,9.58,54,102
6,125,2411,1169,1242,20,14,8.53,29,31
6,126,1443,709,734,13,5,8.58,16,24
6,127,1540,782,758,20,14,8.59,16,28
6,128,1467,717,750,20,5,8.78,9,22
6,2929,12321,6204,6117,35,211,12.31,148,508
6,2930,12321,6204,6117,35,211,12.31,148,508
6,2931,12321,6204,6117,35,211,12.31,148,508
6,2928,12321,6204,6117,35,211,12.31,148,508
6,2928,12321,6204,6117,35,211,12.31,148,508
6,2929,12321,6204,6117,35,211,12.31,148,508
6,2930,12321,6204,6117,35,211,12.31,148,508
6,2931,12321,6204,6117,35,211,12.31,148,508
6,131,7647,3801,3846,20,40,10.93,115,148
6,132,5223,2592,2631,13,70,13.93,30,225
6,133,2482,1205,1277,15,38,12.68,28,81
6,134,1601,813,788,5,8,10.51,10,33
6,135,2092,1052,1040,12,13,10.63,19,42
6,136,1568,771,797,12,4,8.45,8,40
6,137,1461,707,754,18,4,8.49,11,33
6,138,1434,697,737,14,4,8.32,14,28
6,139,1720,899,821,2,16,11.07,10,38
6,140,1045,514,531,1,19,10.17,2,11
6,141,10329,5164,5165,20,61,10.67,133,268
6,2952,12578,6229,6349,84,77,10.42,169,366
6,2953,12578,6229,6349,84,77,10.42,169,366
6,2954,12578,6229,6349,84,77,10.42,169,366
6,2955,12578,6229,6349,84,77,10.42,169,366
6,2956,12578,6229,6349,84,77,10.42,169,366
6,2952,12578,6229,6349,84,77,10.42,169,366
6,2953,12578,6229,6349,84,77,10.42,169,366
6,2954,12578,6229,6349,84,77,10.42,169,366
6,2955,12578,6229,6349,84,77,10.42,169,366
6,2956,12578,6229,6349,84,77,10.42,169,366
6,143,1621,813,808,0,9,8.86,7,52
6,144,9842,4885,4957,24,126,10.94,94,338
6,145,5144,2542,2602,13,107,10.44,60,154
6,146,2793,1443,1350,4,18,9.73,61,84
26,147,957,474,483,4,375,9.11,14,31
6,148,9008,4513,4495,29,63,11.8,105,300
6,150,12587,6163,6424,146,186,11.72,123,1273
7,151,2333,1140,1193,0,0,8.42,25,129
7,152,1671,828,843,5,3,8.81,1,99
7,153,363,156,207,0,0,5.8,0,25
7,154,356,162,194,0,0,4.98,0,19
7,155,568,245,323,0,0,5.76,0,17
7,156,851,448,403,1,4,8.46,4,44
7,157,653,343,310,0,1,9.89,1,29
7,158,1144,564,580,0,1,8.48,4,112
7,159,324,144,180,0,0,6.09,2,30
7,160,980,482,498,0,0,7.08,1,40
7,161,1434,700,734,0,0,7.16,2,133
7,162,657,330,327,0,1,5.93,2,40
7,163,523,246,277,0,1,5.93,0,10
7,164,614,291,323,0,0,6.09,1,30
7,165,1037,503,534,0,2,7.43,15,89
7,166,867,437,430,0,4,7.2,10,21
7,167,494,246,248,0,0,6.89,0,16
8,168,741,375,366,0,8,9.07,3,45
8,169,700,338,362,2,8,7.99,13,60
8,170,658,336,322,0,44,8.72,4,96
8,171,1534,780,754,4,158,9.27,6,186
9,172,2675,1324,1351,11,26,12.2,14,707
9,173,1058,561,497,1,4,8.89,10,103
9,174,2925,1440,1485,5,4,9.05,11,198
9,175,2126,1086,1040,1,2,9.41,26,54
9,176,4110,1133,2977,4,4,9.51,9,102
9,177,1251,650,601,1,9,8.55,1,61
9,178,1269,609,660,1,4,9.26,10,47
9,179,1328,659,669,0,3,8.37,16,90
9,180,1184,602,582,1,10,8.9,21,108
9,181,1291,653,638,1,4,8.41,18,63
9,182,2040,1014,1026,0,42,8.4,43,84
9,184,1319,719,600,9,10,11.3,5,124
9,185,731,356,375,0,2,10.71,3,119
9,186,1073,533,540,0,5,10.31,5,116
9,187,1721,872,849,2,21,10.52,7,83
9,188,1209,626,583,0,2,10.96,15,76
9,189,2880,1457,1423,2,148,10.79,18,169
9,190,1863,969,894,0,7,11.37,6,34
9,192,725,355,370,0,7,7.65,1,106
9,193,1060,511,549,2,1,8,3,54
9,194,1041,511,530,3,5,7.72,4,46
9,195,256,111,145,38,18,7.15,0,59
9,196,2169,1059,1110,40,17,8.77,32,147
9,197,949,461,488,0,21,7.47,5,156
9,198,424,225,199,0,4,7.91,1,84
9,199,396,179,217,4,7,7.57,5,71
9,200,858,425,433,0,13,7.87,1,94
9,201,1115,548,567,0,15,8.19,2,183
9,202,425,208,217,0,2,7.43,4,27
9,203,738,367,371,1,29,6.72,0,64
9,204,560,275,285,6,4,6.92,4,142
9,205,1040,491,549,50,13,7.11,3,254
9,206,665,331,334,15,17,7.02,3,91
9,207,455,214,241,30,0,6.82,0,89
9,208,285,130,155,16,1,6.68,1,75
9,209,439,206,233,9,6,7.87,3,77
9,210,1061,496,565,21,17,7.95,4,147
9,211,585,290,295,2,24,6.65,3,88
9,212,816,398,418,5,3,7.46,7,101
9,213,630,304,326,8,4,7.07,0,90
9,214,719,348,371,45,9,7.38,2,129
9,215,226,93,133,1,3,7.04,1,67
9,216,701,355,346,37,4,7.93,2,147
9,217,1045,538,507,9,8,8.76,5,136
10,218,32592,16144,16448,1201,193,9.63,340,1475
