"","ID","ENTIDAD","DISTRITO","DISTRITO_L","MUNICIPIO","SECCION","TIPO","CONTROL","GEOMETRY1_","votos","lista","participacion"
"1",312,19,1,18,19,"356",2,1642,NA,815,1855,0.439353099730458
"2",313,19,1,18,19,"357",2,1643,NA,248,1596,0.155388471177945
"3",314,19,1,18,19,"358",2,1644,NA,255,1505,0.169435215946844
"4",315,19,1,18,19,"359",2,1646,NA,1951,3489,0.559186013184294
"5",316,19,1,18,19,"360",2,1648,NA,1291,2278,0.566725197541703
"6",317,19,1,18,19,"361",2,1652,NA,1096,2017,0.543381259295984
"7",318,19,1,18,19,"362",2,1653,NA,681,1612,0.422456575682382
"8",319,19,1,18,19,"363",2,1654,NA,988,1633,0.605021432945499
"9",320,19,1,18,19,"364",2,1657,NA,726,1665,0.436036036036036
"10",321,19,1,18,19,"365",2,1658,NA,1109,1826,0.607338444687842
"11",322,19,1,18,19,"366",2,1659,NA,1036,2145,0.482983682983683
"12",323,19,1,18,19,"367",2,1660,NA,895,1735,0.515850144092219
"13",324,19,1,18,19,"368",2,1661,NA,1011,1633,0.619105939987753
"14",325,19,1,18,19,"369",2,1682,NA,805,1555,0.517684887459807
"15",326,19,1,18,19,"370",2,1684,NA,1137,2113,0.538097491717937
"16",327,19,1,18,19,"371",2,1696,NA,1455,2178,0.668044077134986
"17",328,19,1,18,19,"372",2,1699,NA,880,1531,0.574787720444154
"18",329,19,1,18,19,"373",2,1701,NA,1334,1997,0.668002003004507
"19",330,19,1,18,19,"374",2,1705,NA,1210,1907,0.634504457262716
"20",331,19,1,18,19,"375",2,1707,NA,1102,1692,0.651300236406619
"21",332,19,1,18,19,"376",2,1709,NA,665,1004,0.662350597609562
"22",333,19,1,18,19,"377",2,1711,NA,880,1288,0.683229813664596
"23",334,19,1,18,19,"378",2,1716,NA,998,1373,0.726875455207575
"24",335,19,1,18,19,"379",2,1718,NA,759,974,0.779260780287474
"25",336,19,1,18,19,"380",2,1722,NA,1468,1962,0.748216106014271
"26",337,19,1,18,19,"381",2,1720,NA,551,787,0.70012706480305
"27",338,19,1,18,19,"382",2,1723,NA,1265,1610,0.785714285714286
"28",339,19,1,18,19,"383",2,1956,NA,835,1061,0.786993402450518
"29",340,19,1,18,19,"384",2,1727,NA,1162,1439,0.807505211952745
"30",341,19,1,18,19,"385",2,1729,NA,1133,1401,0.80870806566738
"31",342,19,1,18,19,"386",2,1959,NA,1431,1851,0.773095623987034
"32",343,19,1,18,19,"387",2,1734,NA,1537,1931,0.795960642154324
"33",344,19,1,18,19,"388",2,1738,NA,2594,3880,0.668556701030928
"34",345,19,1,18,19,"389",2,1739,NA,4420,5445,0.811753902662994
"35",346,19,1,18,19,"390",2,1741,NA,4315,5415,0.796860572483841
"36",347,19,1,18,19,"391",2,1742,NA,1602,1983,0.807866868381241
"37",348,19,1,18,19,"392",2,1743,NA,1194,1511,0.790205162144275
"38",349,19,1,18,19,"393",2,1744,NA,869,1143,0.760279965004374
"39",350,19,1,18,19,"394",2,1745,NA,817,1043,0.783317353787152
"40",351,19,1,18,19,"395",2,1746,NA,615,789,0.779467680608365
"41",352,19,1,18,19,"396",2,1747,NA,603,744,0.810483870967742
"42",353,19,1,18,19,"397",2,1748,NA,1075,1349,0.796886582653818
"43",354,19,1,18,19,"398",2,1749,NA,1149,1408,0.816051136363636
"44",355,19,1,18,19,"399",2,1750,NA,879,1086,0.80939226519337
"45",356,19,1,18,19,"400",2,1752,NA,748,937,0.7982924226254
"46",357,19,1,18,19,"401",2,1757,NA,1234,1658,0.744270205066345
"47",358,19,1,18,19,"402",2,1762,NA,2340,2878,0.813064628214038
"48",359,19,1,18,19,"403",2,1767,NA,1432,1856,0.771551724137931
"49",360,19,1,18,19,"404",2,1789,NA,1529,1883,0.812002124269782
"50",361,19,1,18,19,"405",2,1791,NA,783,972,0.805555555555556
"51",362,19,1,18,19,"406",2,1793,NA,943,1311,0.719298245614035
"52",363,19,1,18,19,"407",2,1794,NA,1028,1364,0.75366568914956
"53",364,19,1,18,19,"408",2,1797,NA,2184,1492,1.46380697050938
"54",365,19,1,18,19,"409",2,1801,NA,2033,2487,0.817450743868114
"55",366,19,1,18,19,"410",2,1807,NA,2415,2959,0.816154106116931
"56",367,19,1,18,19,"411",2,1812,NA,2053,2517,0.815653555820421
"57",368,19,1,18,19,"412",2,1815,NA,1322,1588,0.832493702770781
"58",369,19,1,18,19,"413",2,1818,NA,1249,1834,0.681025081788441
"59",370,19,1,18,19,"414",2,1820,NA,944,1300,0.726153846153846
"60",371,19,1,18,19,"415",2,1821,NA,819,1027,0.79746835443038
"61",372,19,1,18,19,"416",2,1822,NA,2182,2674,0.816005983545251
"62",373,19,1,18,19,"417",2,1823,NA,1236,1591,0.776869893148963
"63",1886,19,1,19,48,"1999",2,1159,NA,3401,6088,0.558639947437582
"64",1887,19,1,19,48,"2000",2,1740,NA,3649,7074,0.515832626519649
"65",1888,19,1,19,48,"2001",2,1160,NA,928,2431,0.381735911147676
"66",1889,19,1,19,48,"2002",2,1161,NA,7320,11764,0.622237334240054
"67",1890,19,1,18,48,"2003",2,1162,NA,3489,6198,0.562923523717328
"68",1891,19,1,18,48,"2004",2,1163,NA,1077,1819,0.592083562396921
"69",1892,19,1,18,48,"2005",2,1164,NA,912,1477,0.617467840216655
"70",1893,19,1,18,48,"2006",2,1165,NA,4939,9007,0.548351282335961
"71",1894,19,1,18,48,"2007",2,1167,NA,851,2022,0.420870425321464
