SECCION,votos,lista,participacion
1,NA,NA,NA
10,318,418,0.7607655502392344
100,1334,2339,0.5703292005130398
1000,513,711,0.7215189873417721
1001,532,811,0.655980271270037
1002,874,1225,0.713469387755102
1003,754,1052,0.7167300380228137
1004,914,1216,0.7516447368421053
1005,1213,1628,0.745085995085995
1006,620,1132,0.5477031802120141
1007,312,1041,0.29971181556195964
1008,610,997,0.6118355065195586
1009,906,1161,0.7803617571059431
1010,680,877,0.7753705815279361
1011,444,609,0.729064039408867
1012,858,1191,0.7204030226700252
1013,720,939,0.7667731629392971
1014,952,1391,0.6843997124370956
1015,739,1294,0.5710973724884081
1016,NA,NA,NA
1017,889,1221,0.7280917280917281
1018,801,1128,0.7101063829787234
1019,424,618,0.686084142394822
102,8199,13090,0.6263559969442323
1020,437,615,0.7105691056910569
1021,367,547,0.6709323583180987
1022,83,230,0.36086956521739133
1023,425,688,0.6177325581395349
1024,346,705,0.4907801418439716
1025,364,769,0.47334200260078024
1026,0,471,0
1027,172,338,0.5088757396449705
1028,182,404,0.4504950495049505
1029,558,1012,0.5513833992094862
103,405,1444,0.2804709141274238
1030,358,498,0.7188755020080321
1031,434,618,0.7022653721682848
1032,484,726,0.6666666666666666
1033,514,712,0.7219101123595506
1034,641,904,0.709070796460177
1035,316,870,0.3632183908045977
1036,604,869,0.6950517836593786
1037,220,326,0.6748466257668712
1038,399,645,0.6186046511627907
1039,450,769,0.5851755526657998
104,656,1652,0.39709443099273606
1040,507,744,0.6814516129032258
1041,993,1396,0.7113180515759312
1042,1016,1317,0.7714502657555049
1043,1049,1366,0.7679355783308931
1044,1307,1671,0.782166367444644
1045,1553,1969,0.7887252412392077
1046,965,1211,0.7968620974401321
1047,870,1122,0.7754010695187166
1048,285,411,0.6934306569343066
1049,454,622,0.729903536977492
105,887,1512,0.5866402116402116
1050,518,752,0.6888297872340425
1051,245,367,0.667574931880109
1052,630,889,0.7086614173228346
1053,262,392,0.6683673469387755
1054,518,867,0.5974625144175317
1055,272,471,0.5774946921443737
1056,0,397,0
1057,210,430,0.4883720930232558
1058,524,1070,0.4897196261682243
1059,567,1274,0.44505494505494503
